加油站地址,Lat,Long
新北市樹林區中華路66號,24.9818331, 121.4201032
新北市鶯歌區中山路198號,24.9571294, 121.3467117
新北市鶯歌區八德路1-2號,24.9476169, 121.3402359
新北市鶯歌區三鶯路5號,25.0675498, 121.6180549
新北市鶯歌區文化路669號,24.9463574, 121.3527388
新北市鶯歌區中山路198號,24.9571294, 121.3467117
新北市鶯歌區中正一路225號,24.9571859, 121.3542198
新北市鶯歌區鶯桃路永新巷1號,24.952935, 121.340785
新北市鶯歌區永和二街28號,24.97146, 121.3362454
新北市鶯歌區鶯桃路412號,24.9642179, 121.333383
新北市鶯歌區文化路152號,24.950327, 121.352077
新北市三重區重新路五段628號,25.0446345, 121.4687247
新北市三重區集賢路72號,25.0886759, 121.492925
新北市三重區自強路四段96號,25.079472, 121.49095
新北市三重區重新路五段652號,25.0439782, 121.4680859
新北市三重區仁美街2號,24.984372, 121.4250603
新北市三重區三和路四段81之1號,25.075494, 121.48995
新北市三重區忠孝路一段1號,24.9790064, 121.4398706
新北市三重區自強路四段34號,25.077081, 121.488913
新北市三重區重新路五段495號,25.0468178, 121.4723433
新北市三重區中正北路237號,25.0708381, 121.4753284
新北市三重區重新路三段49號,25.0615582, 121.4929917
新北市三重區中興南街33之2號,25.0437082, 121.4707769
新北市三重區重新路三段157號,25.0588719, 121.489581
新北市三重區中正北路305號,25.0716562, 121.4741994
新北市新莊區中正路486-1號,25.033449, 121.437772
新北市新莊區五工路60號,25.0631313, 121.4586901
新北市新莊區五工路99-3號,25.06475, 121.456031
新北市新莊區思源路89號,24.9347609, 121.401548
新北市新莊區五權三路2號,25.061795, 121.451072
新北市新莊區中山路三段118號,25.0061027, 121.4757741
新北市新莊區新樹路140號之1,25.0233243, 121.435221
新北市新莊區中正路501號,25.0334399, 121.4405424
新北市新莊區中山路一段23號,25.0086759, 121.460318
新北市新莊區思源路41-1號,25.040187, 121.4598401
新北市新莊區思源路68號,25.0446302, 121.4603921
新北市新莊區復興路三段117號,25.0446774, 121.465191
新北市新莊區中山路一段146號,25.0108882, 121.463791
新北市新莊區頭前路13號,25.0522201, 121.4680034
新北市新莊區中正路338號,25.0348314, 121.4453277
新北市新莊區中華路二段83號,24.9680568, 121.4382934
新北市新莊區中正路692之8號,25.0281398, 121.4197967
新北市泰山區楓江路110號,25.0638612, 121.4385202
新北市泰山區楓江路88號,25.0634421, 121.436934
新北市泰山區中山路二段61號,25.0156725, 121.4735867
新北市泰山區新五路一段135號,25.0637908, 121.4397925
新北市泰山區泰林路二段47號,24.9623756, 121.3916385
新北市泰山區新五路一段89號,25.0607848, 121.4417343
新北市泰山區中山路三段8號,24.96266, 121.424573
新北市泰山區泰林路二段424號,25.064476, 121.4269789
新北市林口區湖南村文化三路二段300號,25.0835082, 121.3775381
新北市林口區文化二路一段413號,25.0751014, 121.3721566
新北市林口區林口里14鄰中山路1號,25.0774794, 121.3969745
新北市林口區文化二路二段553號,25.0904176, 121.3835367
新北市林口區粉寮路一段121號,24.9717648, 121.5190599
新北市林口區南勢村忠孝路132號,25.0617352, 121.6528246
新北市林口區中山路27號,25.0783189, 121.3954922
新北市蘆洲區中山二路309號,25.0771528, 121.4688293
新北市蘆洲區中山一路310號,25.0772727, 121.4693046
新北市蘆洲區三民路550號,24.9815528, 121.5235476
新北市蘆洲區中山一路417號,25.0767862, 121.4690058
新北市蘆洲區三民路99號,25.0853755, 121.4731123
新北市五股區成泰路二段250號,25.0870819, 121.4403619
