捷運地址,Lat,Long
台北市大安區忠孝東路四段182號,25.0412903, 121.5516179
台北市信義區忠孝東路四段400號,25.0411611, 121.5580209
台北市信義區忠孝東路五段2號,25.0410127, 121.5651638
台北市信義區忠孝東路五段455號,25.041022, 121.5768206
台北市南港區忠孝東路六段2號,25.0453393, 121.5832352
台北市南港區忠孝東路六段451號,25.0506282, 121.5937913
台北市南港區忠孝東路七段380號,25.0518562, 121.606577
台北市南港區研究院路一段1號,25.0548961, 121.6168525
新北市新店區北新路三段190號,24.9831, 121.5418
新北市新店區民權路282號,24.9841935, 121.5280923
新北市中和區景平路2號,24.9906429, 121.5250249
新北市中和區景平路121號,24.9919349, 121.5161961
新北市中和區景平路486號,24.9938396, 121.504825
新北市中和區中山路二段271號,25.0022633, 121.4963341
新北市中和區板南路430號,25.0047969, 121.4903178
新北市中和區板南路510號,25.0084233, 121.4840963
新北市板橋區板新路109號,25.0147997, 121.4718474
新北市板橋區新站路66號,25.0154117, 121.4648273
新北市板橋區民生路三段70號,25.0259623, 121.4669949
新北市新莊區思源路20號,25.0397892, 121.4614008
新北市新莊區思源路292號,25.0574978, 121.4601668
新北市新莊區五工路35號,25.0615483, 121.4599257
台北市中正區鄭州路8號,25.0487361, 121.5142145
新北市三重區捷運路36號,25.0552076, 121.4831524
新北市新莊區五工路37號,25.0617119, 121.4588938
新北市新莊區新北大道四段188號,25.0593624, 121.4461393
新北市泰山區新北大道四段431號,25.0530209, 121.4397003
新北市泰山區新北大道六段460號,25.0334108, 121.4224296
新北市林口區八德路290號,25.0660567, 121.3615331
