焚化爐和垃圾掩埋場地址,Lat,Long
新北市八里區中山路三段409號,25.1348846, 121.3669304
新北市樹林區中山路三段212號,24.9672754, 121.3800491
新北市新店區薏仁坑路自強巷1號,24.9583222, 121.4968505
新北市板橋區民族路57號,25.0090649, 121.464847
