Address,lon,lat
新北市蘆洲區民權路156號,121.472384,25.09
新北市蘆洲區民族路145號,121.479592,25.087714
新北市林口區文化一路一段100巷12號,121.373891,25.070556
新北市永和區保安路252巷2號,121.506294,25.012747
新北市蘆洲區九芎街71巷1號,121.466727,25.078675
新北市新莊區中港路207巷14號,121.454026,25.041847
新北市蘆洲區長榮路369號,121.459245,25.088774
新北市新莊區民安西路410巷15號1.2樓,121.428223,25.008965
新北市蘆洲區民族路167巷3號,121.478693,25.088125
新北市瑞芳區瑞芳街21之1號,121.806904,25.109504
新北市蘆洲區水湳街104號,121.469627,25.092957
新北市樹林區中山路一段2號1、2、3樓,121.424073,24.994116
新北市蘆洲區中山二路162之1號,121.470961,25.081133
新北市泰山區民生路20號,121.430296,25.052481
新北市蘆洲區民族路455號,121.467264,25.088591
新北市林口區八德路18號,121.368363,25.067451
新北市新莊區中和街46號,121.448165,25.044326
新北市蘆洲區永樂街31巷26號,121.457949,25.087482
新北市蘆洲區長安街288號,121.457372,25.087799
新北市五股區水碓路2號,121.434072,25.072274
新北市新莊區四維路20號,121.423461,25.0242
新北市五股區成泰路二段170號,121.438505,25.084295
新北市鶯歌區育英街98-1號,121.344605,24.953733
新北市五股區中興路四段48巷15號2樓,121.438453,25.083573
新北市新莊區中和街218巷1號1樓,121.448453,25.050879
新北市五股區工商路164號,121.433586,25.087999
新北市樹林區中華路12巷11號,121.420191,24.983424
新北市泰山區中央路34 號,121.426261,25.043089
新北市八里區龍米路一段261號,121.450368,25.134217
新北市新莊區中平路385號,121.444531,25.053756
新北市泰山區泰林路二段261號,121.430969,25.062573
新北市新莊區中港路629號1樓,121.450667,25.054017
新北市泰山區辭修路10號,121.430231,25.057765
新北市新莊區中和街155巷24弄26號1樓,121.44667,25.050518
新北市泰山區明志路三段142巷8號3樓,121.424519,25.040018
新莊區中正路425號,121.444169,25.034236
新北市林口區忠孝路589巷5號,121.375292,25.068788
新北市林口區麗園路94號1.2樓,121.371932,25.068303
新北市土城區明德路一段74號,121.464492,24.979945
新北市林口區中北三街56號,121.384493,25.085675
新北市鶯歌區國華路109號,121.343828,24.953309
新北市林口區文化一路二段177號,121.383084,25.081637
新北市土城區中華路一段46號,121.445981,24.989277
新北市林口區忠孝路542巷8號,121.372682,25.067046
新北市林口區公園路42號,121.367273,25.068048
新北市深坑區文化街52號,121.618983,25.001739
新北市蘆洲區長榮路700號,121.460285,25.091367
新北市深坑區文化街10號,121.620357,25.00139
新北市新店區玫瑰路29號1、2樓及31號1、2樓,121.494795,24.950541
新北市深坑區平埔街5巷12號,121.616167,25.000902
新北市新莊區頭前路26號1樓,121.467656,25.052575
新北市新莊區民安東路48號,121.429396,25.020699
新北市板橋區中山路一段161號2樓,121.465624,25.01208
新北市板橋區文聖街137號,121.478335,25.028466
新北市板橋區介壽街23號,121.468138,25.020095
新北市蘆洲區光榮路103號,121.464727,25.089714
新北市板橋區吳鳳路17巷22號,121.46759,25.029813
新北市板橋區民生路三段10號,121.467899,25.024428
新北市泰山區辭修路7號,121.429866,25.057718
新北市板橋區縣民大道三段133巷22號,121.477564,25.023783
新北市板橋區文化路一段25號,121.4591,25.011683
新北市板橋區大同街59號,121.47896,25.027823
新北市新店區中央路93號,121.531813,24.975611
新北市板橋區莒光路211號,121.474216,25.02306
新北市板橋區中山路一段69號號 2 樓,121.461254,25.009838
新北市中和區連城路460號,121.478344,24.993984
新北市板橋區雙十路三段12號,121.471735,25.030495
新北市新莊區中平路135號,121.444658,25.048183
新北市板橋區新海路416號,121.458453,25.027246
新北市三重區三信路1號,121.489287,25.087173
新北市板橋區文聖街149巷6號,121.4788,25.02811
新北市板橋區金門街215巷8號1樓,121.432965,24.989581
新北市林口區仁愛路二段173號,121.381002,25.073637
新北市板橋區板新路101號1-2樓,121.472744,25.014115
新北市板橋區成都街103號,121.463479,25.005412
新北市瑞芳區瑞芳街60號,121.804681,25.110733
新北市板橋區溪崑二街98號,121.426669,24.988945
新北市三重區中正北路163號,121.480073,25.069648
新北市板橋區雙十路二段213號,121.473232,25.028966
新北市土城區學府路一段241號,121.45038,24.983308
板橋區雙十路二段149號,121.474678,25.028065
新北市板橋區永豐街43號,121.47435,25.017382
新北市淡水區商工路307號,121.454026,25.18676
新北市板橋區重慶路223巷7號,121.463262,25.001376
新北市林口區文化一路一段20號,121.370276,25.068111
新北市板橋區重慶路207號,121.462973,25.001604
新北市三峽區國光街100號,121.372986,24.939198
新北市板橋區三民路一段126號2樓,121.478615,25.020934
新北市林口區三民路101號,121.359475,25.069576
新北市板橋區金門街372巷34號2,121.427477,24.984829
新北市板橋區漢生東路350號,121.472016,25.007252
新北市淡水區淡海路72巷21號,121.424148,25.181163
新北市板橋區三民路二段215號,121.479127,25.012869
新北市林口區中山路268號,121.384227,25.08033
新北市板橋區國光路53號,121.458252,25.017966
新北市泰山區辭修路7號,121.429866,25.057718
新北市板橋區篤行路二段161巷18號,121.429826,24.987456
新北市板橋區重慶路269巷18號,121.46449,24.99896
新北市瑞芳區瑞芳街60號,121.804681,25.110733
新北市板橋區雙十路二段85號,121.47572,25.027301
新北市立三重區中正北路163號,121.480073,25.069648
新北市板橋區民族路8號2樓,121.461658,25.009651
新北市板橋區文聖街89巷17號2樓,121.478123,25.03037
新北市土城區學府路一段241號,121.45038,24.983308
新北市板橋區莊敬路42號,121.472887,25.027591
新北市淡水區商工路307號,121.454026,25.18676
新北市板橋區三民路二段正隆巷61號,121.476553,25.013273
新北市林口區文化北路1段425號,121.365938,25.078446
新北市板橋區金門街251號,121.432005,24.988931
新北市三重區忠孝路三段89號,121.480479,25.065712
新北市板橋區文聖街73號,121.477307,25.030532
新北市石碇區靜安路一段5號,121.641724,25.011662
新北市板橋區文化路二段182巷3弄11號,121.471703,25.027771
新北市板橋區文化路二段182巷3弄50號,121.472682,25.028748
新北市板橋區漢生東路215號,121.470885,25.010154
新北市板橋區南雅南路二段156號,121.451438,24.995609
新北市三重區集美街212號,121.491473,25.054693
新北市五股區明德路2號,121.43455,25.07137
新北市永和區保安里1鄰永平路205號,121.508626,25.01075
新北市林口區忠孝路591號,121.376195,25.068588
新北市樹林區中華路8號,121.422462,24.982937
新北市新店區寶橋路8號,121.543895,24.973707
新北市三峽區中正路二段399號,121.36391,24.906932
新北市泰山區義學里1鄰公園路33號,121.428099,25.05429
新北市汐止區忠孝東路201號,121.660087,25.065633
新北市中和區光環路二段一號,121.482575,25.014697
新北市金山區美田里文化二路2號,121.636934,25.224668
新北市汐止區仁愛路90號,121.661556,25.062576
新北市新店區安興路25號,121.514932,24.96881
新北市汐止區明峰街201號,121.627219,25.068719
新北市三峽區大同路1號,121.378519,24.929829
新北市雙溪區梅竹蹊3號,121.863162,25.034931
新北市新莊區昌平街200號,121.455581,25.056404
新北市石碇區隆盛里八分寮45號,121.642596,25.012743
新北市林口區公園路46號,121.367903,25.068715
新北市新莊區龍安路72號,121.416169,25.021198
新北市三重區集美街10號,121.487924,25.056467
新北市土城區明德路一段72號,121.465311,24.982012
新北市鶯歌區德昌二街2號,121.332913,24.958766
新北市蘆洲區三民路96號,121.473007,25.086461
新北市八里區忠八街2號,121.419406,25.160305
新北市三峽區弘園街22號,121.367185,24.927828
新北市中和區錦和路163號,121.491089,24.99254
新北市鶯歌區永明街22號,121.339162,24.955644
新北市板橋區光環路一段7號,121.484376,25.017982
新北市蘆洲區光榮路99號,121.463854,25.089297
新北市淡水區竹林路35號,121.461718,25.146035
新北市泰山區民生路30號,121.430955,25.052219
新北市三峽區大義路277號,121.376105,24.948608
新北市三峽區大學路6號,121.377883,24.940678
新北市林口區民權路101號,121.372859,25.082737
新北市貢寮區美豐里雞母嶺街6之6號,121.901517,25.065805
新北市淡水區中山北路2段200號,121.444509,25.186022
新北市鶯歌區中正三路154號,121.335003,24.939285
新北市板橋區漢生東路215號,121.470885,25.010154
新北市汐止區樟樹二路135號,121.639703,25.065826
新北市三重區集美街212號,121.491473,25.054693
新北市永和區永平路205號,121.508626,25.01075
新北市板橋區中正路437號,121.454159,25.024
新北市樹林區中華路8號,121.422462,24.982937
新北市板橋區國慶路221號,121.463157,24.998189
新北市汐止區忠孝東路201號,121.6608887,25.06582475
新北市板橋區松江街63號,121.468438,25.028945
新北市新店區安興路25號,121.514932,24.96881
新北市板橋區文化路一段188巷56號,121.467476,25.018554
新北市新莊區龍安路72號,121.416169,25.021198
新北市板橋區新海路181號,121.459653,25.024896
新北市三芝區觀海街1號10巷,121.4201912,24.9834245
新北市新莊區中正路211號,121.452488,25.035938
新北市新莊區新泰路359號,121.444378,25.042594
新北市三芝區中山路一段39號,121.50062,25.25775
新北市新莊區富國路105號,121.42251,25.025324
新北市八里區中山路二段466巷23號,121.397975,25.147447
新北市新莊區中原路2號,121.459484,25.055184
新北市八里區龍米路三段38號號,121.428284,25.159333
新北市三重區介壽路26號,121.499921,25.070456
新北市八里區中山路一段190號,121.416576,25.159434
新北市三重區中正北路107號,121.488986,25.063431
新北市三重區三信路166號,121.489048,25.087232
新北市萬里區瑪鋉下街17號,121.690606,25.17808
新北市永和區國中路111號,121.523319,25.006689
新北市板橋區翠華街4巷7號,121.480596,25.023761
新北市永和區永利路71號,121.520855,25.003997
新北市中和區興南路二段3巷17號,121.50854,24.986176
新北市板橋區存德街20號,121.429782,24.991842
新北市中和區民安街66號,121.478927,25.000128
新北市板橋區長安街138巷7弄36號2樓,121.473867,25.008931
新北市中和區廣福路39號,121.505531,25.002673
新北市板橋區文化路二段548巷29號,121.476983,25.033829
新北市鶯歌區尖山埔路108號,121.344826,24.95041
板橋區金華街10巷104號,121.458819,25.020458
新北市樹林區柑園街2段125號,121.384209,24.954463
新北市板橋區永豐街122號,121.476471,25.020868
新北市土城區永寧路18號,121.430171,24.962415
新北市三峽區復興路238號,121.369074,24.939057
板橋區中正路360巷49號,121.456224,25.022929
新北市八里區荖阡里荖阡坑路15號,121.40128,25.1399
新北市板橋區莒光路196巷28號,121.472927,25.022582
